maid,latitude,longitude,timestamp,adjusted_longitude,adjusted_latitude
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79329,110.3660125732422,2021-12-04 15:23:25,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793262,110.366066,2021-12-04 15:31:16,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79326,110.36605072021484,2021-12-04 15:31:26,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793312,110.36602020263672,2021-12-04 15:33:32,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79333,110.36602020263672,2021-12-04 15:33:41,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79332,110.3660125732422,2021-12-04 15:49:33,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79331,110.36602020263672,2021-12-04 15:49:44,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79362,110.36592864990234,2021-12-04 15:57:39,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79361,110.36593627929688,2021-12-04 15:57:49,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79338,110.365966796875,2021-12-04 16:05:00,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79339,110.3659896850586,2021-12-04 16:05:55,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79347,110.36599,2021-12-04 16:14:00,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79347,110.3659896850586,2021-12-04 16:14:55,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79364,110.36591,2021-12-04 16:17:34,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79366,110.36591339111328,2021-12-04 16:17:43,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79377,110.36550903320312,2021-12-04 16:21:04,110.3657399,-7.7937511
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79376,110.36552,2021-12-04 16:21:53,110.3657399,-7.7937511
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793797,110.3656997680664,2021-12-05 12:20:08,110.3657399,-7.7937511
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7938,110.36569,2021-12-05 12:20:58,110.3657399,-7.7937511
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79361,110.36591,2021-12-05 12:28:14,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793616,110.36592,2021-12-05 12:28:15,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79361,110.36591339111328,2021-12-05 12:28:20,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79361,110.36591339111328,2021-12-05 12:28:20,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79327,110.36601,2021-12-05 12:44:17,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79328,110.36602020263672,2021-12-05 12:44:27,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7934,110.36597,2021-12-05 12:52:32,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7934,110.365966796875,2021-12-05 12:52:41,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79339,110.36598,2021-12-05 13:00:01,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793386,110.365974,2021-12-05 13:00:52,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7934,110.3659896850586,2021-12-05 13:19:15,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.7934,110.36599731445312,2021-12-05 13:19:20,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.793398,110.36599731445312,2021-12-05 13:19:21,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79338,110.365966796875,2021-12-05 13:27:10,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79339,110.36598205566406,2021-12-05 13:27:25,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79331,110.36599,2021-12-05 13:35:35,110.3658178,-7.7937552
9a63fd0e-d363-478a-8136-99b1eb82693f,-7.79334,110.36599731445312,2021-12-05 13:35:40,110.3658178,-7.7937552
