maid,latitude,longitude,timestamp
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901268,110.3672678,2021-12-06 14:38:27
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901352,110.3672117,2021-12-06 14:43:16
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901502,110.3671521,2021-12-06 14:43:26
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901484,110.3671114,2021-12-06 14:48:43
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901357,110.3668228,2021-12-06 14:54:00
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901058,110.3663611,2021-12-06 14:59:17
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901031,110.3662263,2021-12-06 14:59:17
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790116,110.3661899,2021-12-06 14:59:27
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7900832,110.3661769,2021-12-06 15:00:30
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790116,110.3661899,2021-12-06 15:00:30
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7901459,110.3661708,2021-12-06 15:00:36
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.790553,110.3661236,2021-12-06 15:00:42
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7909066,110.36608,2021-12-06 15:00:48
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7911511,110.3660523,2021-12-06 15:00:54
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7912931,110.366036,2021-12-06 15:01:00
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7916401,110.3659972,2021-12-06 15:01:06
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.79177,110.3659813,2021-12-06 15:01:12
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7919982,110.3659557,2021-12-06 15:01:18
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7920453,110.3659504,2021-12-06 15:01:24
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7923433,110.3659211,2021-12-06 15:01:30
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7924548,110.3659102,2021-12-06 15:01:45
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7926478,110.3658829,2021-12-06 15:01:46
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7937511,110.3657399,2021-12-06 15:01:47
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7940238,110.365707,2021-12-06 15:01:48
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7943007,110.3656686,2021-12-06 15:01:49
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7952198,110.3655429,2021-12-06 15:01:50
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7958792,110.3654683,2021-12-06 15:01:51
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7963687,110.3654129,2021-12-06 15:01:52
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7974361,110.3652882,2021-12-06 15:01:53
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7983549,110.3651635,2021-12-06 15:01:54
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7988396,110.3650977,2021-12-06 15:01:55
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7990764,110.3650656,2021-12-06 15:01:56
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994798,110.3650197,2021-12-06 15:01:57
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994866,110.3649204,2021-12-06 15:01:58
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7995003,110.3646454,2021-12-06 15:01:59
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.799463,110.3645673,2021-12-06 15:02:00
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7994252,110.3645148,2021-12-06 15:02:01
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7993979,110.3644721,2021-12-06 15:02:02
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7993342,110.3643568,2021-12-06 15:02:03
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992964,110.3642372,2021-12-06 15:02:04
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992772,110.3640669,2021-12-06 15:02:05
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992061,110.3634145,2021-12-06 15:02:06
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7991911,110.3632777,2021-12-06 15:02:07
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992063,110.3629403,2021-12-06 15:02:08
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992079,110.3628474,2021-12-06 15:02:09
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992148,110.362803,2021-12-06 15:02:10
d9f515f4-1a78-442b-81c4-55bf5f253b91,-7.7992252,110.3626871,2021-12-06 15:02:11
