maid,latitude,longitude
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7778554,110.3666478
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777870070992394,110.36673430389175
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7778847419847885,110.3668208077835
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777899412977183,110.36690731167526
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777914083969577,110.36699381556701
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777928754961971,110.36708031945876
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777943425954365,110.36716682335052
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777958096946759,110.36725332724227
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.777972767939153,110.36733983113402
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7779874389315475,110.36742633502578
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778001012385881,110.36751301143131
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7780132,110.3675999
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7780245,110.3676692
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778056449999999,110.36773600000001
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.7780884,110.3678028
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778096807432849,110.36789449967456
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778106693854344,110.36798605142016
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778116614945259,110.36807759969811
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778126536036173,110.36816914797608
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778136457127088,110.36826069625403
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778146407233548,110.36835224112806
d9f515f4-1a78-442b-81c4-55bf5f253b91_0,-7.778157943570149,110.36844359991625
